Area,Agricultural water withdrawal as % of total renewable water resources,Year
Afghanistan,30.61380683,2019
Afghanistan,30.61380683,2020
Afghanistan,30.61380683,2021
Albania,2.291390729,2019
Albania,1.804635762,2020
Albania,1.867549669,2021
Algeria,57.17836633,2019
Algeria,57.17836633,2020
Algeria,57.17836633,2021
Angola,0.098854447,2019
Angola,0.098854447,2020
Angola,0.098854447,2021
Antigua and Barbuda,3.461538461,2019
Antigua and Barbuda,3.461538461,2020
Antigua and Barbuda,3.461538461,2021
Argentina,3.187482881,2019
Argentina,3.187482881,2020
Argentina,3.187482881,2021
Armenia,27.46814262,2019
Armenia,25.61462222,2020
Armenia,29.03848629,2021
Australia,2.12398374,2019
Australia,1.723577236,2020
Australia,2.280487805,2021
Australia and New Zealand,1.667521368,2019
Australia and New Zealand,1.426984127,2020
Australia and New Zealand,1.761538462,2021
Austria,0.15958816,2019
Austria,0.15958816,2020
Austria,0.15958816,2021
Azerbaijan,33.49387167,2019
Azerbaijan,32.32011536,2020
Azerbaijan,34.49747657,2021
Bahrain,124.7413793,2019
Bahrain,124.7413793,2020
Bahrain,124.7413793,2021
Bangladesh,2.567170212,2019
Bangladesh,2.567170212,2020
Bangladesh,2.567170212,2021
Barbados,68.5,2019
Barbados,68.5,2020
Barbados,68.5,2021
Belarus,0.633851468,2019
Belarus,0.633851468,2020
Belarus,0.683937824,2021
Belgium,0.297814208,2019
Belgium,0.279781421,2020
Belgium,0.279781421,2021
Belize,0.314714273,2019
Belize,0.314714273,2020
Belize,0.314714273,2021
Benin,0.223569534,2019
Benin,0.223569534,2020
Benin,0.223569534,2021
Bhutan,0.407692308,2019
Bhutan,0.407692308,2020
Bhutan,0.407692308,2021
Bolivia (Plurinational State of),0.334494774,2019
Bolivia (Plurinational State of),0.334494774,2020
Bolivia (Plurinational State of),0.334494774,2021
Botswana,0.609395425,2019
Botswana,0.665601307,2020
Botswana,0.637250817,2021
Brazil,0.49196253,2019
Brazil,0.479010061,2020
Brazil,0.477275356,2021
Brunei Darussalam,0.062352941,2019
Brunei Darussalam,0.062352941,2020
Brunei Darussalam,0.062352941,2021
Bulgaria,2.915492958,2019
Bulgaria,3.056338028,2020
Bulgaria,3.056338028,2021
Burkina Faso,3.116296296,2019
Burkina Faso,3.116296296,2020
Burkina Faso,3.116296296,2021
Burundi,1.770899809,2019
Burundi,1.770899809,2020
Burundi,1.770899809,2021
Cabo Verde,29.84132667,2019
Cabo Verde,37.73358333,2020
Cabo Verde,36.42317,2021
Cambodia,0.43121193,2019
Cambodia,0.43121193,2020
Cambodia,0.43121193,2021
Cameroon,0.260286067,2019
Cameroon,0.260286067,2020
Cameroon,0.260286067,2021
Canada,0.132977257,2019
Canada,0.132977257,2020
Canada,0.132977257,2021
Central African Republic,0.000283688,2019
Central African Republic,0.000283688,2020
Central African Republic,0.000283688,2021
Central Asia,42.1506166,2019
Central Asia,40.72978278,2020
Central Asia,37.46031746,2021
Central and Southern Asia,41.32572414,2019
Central and Southern Asia,41.20529295,2020
Central and Southern Asia,40.92816572,2021
Chad,1.470897155,2019
Chad,1.470897155,2020
Chad,1.470897155,2021
Chile,3.187225099,2019
Chile,3.187225099,2020
Chile,3.187225099,2021
China,12.96484075,2019
China,12.71873306,2020
China,12.71873306,2021
Colombia,0.921040805,2019
Colombia,0.946825545,2020
Colombia,0.975052163,2021
Comoros,0.391666667,2019
Comoros,0.391666667,2020
Comoros,0.391666667,2021
Congo,0.000480769,2019
Congo,0.000480769,2020
Congo,0.000480769,2021
Costa Rica,1.832245876,2019
Costa Rica,1.836300021,2020
Costa Rica,1.852119631,2021
Croatia,0.072037915,2019
Croatia,0.072037915,2020
Croatia,0.072037915,2021
Cuba,11.85466947,2019
Cuba,11.85466947,2020
Cuba,11.85466947,2021
Cyprus,21.28205128,2019
Cyprus,22.05128205,2020
Cyprus,23.07692308,2021
Czechia,0.326996198,2019
Czechia,0.296577947,2020
Czechia,0.281368821,2021
CÃ´te d'Ivoire,0.713097219,2019
CÃ´te d'Ivoire,0.713097219,2020
CÃ´te d'Ivoire,0.713097219,2021
Democratic People's Republic of Korea,8.567725211,2019
Democratic People's Republic of Korea,8.567725211,2020
Democratic People's Republic of Korea,8.567725211,2021
Democratic Republic of the Congo,0.005604053,2019
Democratic Republic of the Congo,0.005604053,2020
Democratic Republic of the Congo,0.005604053,2021
Denmark,8.443483333,2019
Denmark,8.788933333,2020
Denmark,8.788933333,2021
Djibouti,1,2019
Djibouti,1,2020
Djibouti,1,2021
Dominica,0.5,2019
Dominica,0.5,2020
Dominica,0.5,2021
Dominican Republic,32.18297872,2019
Dominican Republic,32.18297872,2020
Dominican Republic,32.18297872,2021
Eastern Asia,12.97254445,2019
Eastern Asia,12.76555637,2020
Eastern Asia,12.76555637,2021
Eastern and South-Eastern Asia,10.36295039,2019
Eastern and South-Eastern Asia,10.27934898,2020
Eastern and South-Eastern Asia,10.27931643,2021
Ecuador,1.825497287,2019
Ecuador,1.825497287,2020
Ecuador,1.825497287,2021
Egypt,106.6956522,2019
Egypt,106.6956522,2020
Egypt,106.6956522,2021
El Salvador,1.641431759,2019
El Salvador,1.36958558,2020
El Salvador,1.973825797,2021
Equatorial Guinea,0.003846154,2019
Equatorial Guinea,0.003846154,2020
Equatorial Guinea,0.003846154,2021
Eritrea,7.518796993,2019
Eritrea,7.518796993,2020
Eritrea,7.518796993,2021
Estonia,0.03795096,2019
Estonia,0.037925652,2020
Estonia,0.038820623,2021
Eswatini,22.3059867,2019
Eswatini,22.3059867,2020
Eswatini,22.3059867,2021
Ethiopia,7.940163934,2019
Ethiopia,7.940163934,2020
Ethiopia,7.940163934,2021
Europe,1.268111273,2019
Europe,1.261179218,2020
Europe,1.261999199,2021
Europe and Northern America,2.138480053,2019
Europe and Northern America,2.134709616,2020
Europe and Northern America,2.135155614,2021
Fiji,0.175131349,2019
Fiji,0.175131349,2020
Fiji,0.175131349,2021
Finland,0.909090909,2019
Finland,0.909090909,2020
Finland,0.909090909,2021
France,1.508674741,2019
France,1.630474938,2020
France,1.630474938,2021
Gabon,0.024277108,2019
Gabon,0.024277108,2020
Gabon,0.024277108,2021
Gambia,0.49,2019
Gambia,0.49,2020
Gambia,0.49,2021
Georgia,0.933207011,2019
Georgia,1.117748302,2020
Georgia,1.184083373,2021
Germany,0.697838312,2019
Germany,0.697838312,2020
Germany,0.697838312,2021
Ghana,1.903914591,2019
Ghana,1.903914591,2020
Ghana,1.903914591,2021
Greece,11.85233918,2019
Greece,11.85233918,2020
Greece,11.85233918,2021
Grenada,1.05,2019
Grenada,1.05,2020
Grenada,1.05,2021
Guatemala,1.47447424,2019
Guatemala,1.47447424,2020
Guatemala,1.47447424,2021
Guinea,0.265486726,2019
Guinea,0.265486726,2020
Guinea,0.265486726,2021
Guinea-Bissau,0.458598726,2019
Guinea-Bissau,0.458598726,2020
Guinea-Bissau,0.458598726,2021
Guyana,0.502952029,2019
Guyana,0.502952029,2020
Guyana,0.502952029,2021
Haiti,8.622165169,2019
Haiti,8.622165169,2020
Haiti,8.622165169,2021
Honduras,1.27815633,2019
Honduras,1.27815633,2020
Honduras,1.27815633,2021
Hungary,0.467163214,2019
Hungary,0.526634615,2020
Hungary,0.526634615,2021
Iceland,0.000176471,2019
Iceland,0.000176471,2020
Iceland,0.000176471,2021
India,36.00397718,2019
India,36.00397718,2020
India,36.00397718,2021
Indonesia,9.397136771,2019
Indonesia,9.397136771,2020
Indonesia,9.397136771,2021
Iran (Islamic Republic of),62.75311029,2019
Iran (Islamic Republic of),62.75311029,2020
Iran (Islamic Republic of),62.75311029,2021
Iraq,49.22101046,2019
Iraq,36.37547296,2020
Iraq,34.6861785,2021
Ireland,0.067884615,2019
Ireland,0.072884615,2020
Ireland,0.076923077,2021
Israel,66.91011236,2019
Israel,67.13483146,2020
Israel,71.23595506,2021
Italy,8.886565604,2019
Italy,8.886565604,2020
Italy,8.886565604,2021
Jamaica,1.043974276,2019
Jamaica,1.040861571,2020
Jamaica,0.729665023,2021
Japan,12.39534884,2019
Japan,12.37209302,2020
Japan,12.37209302,2021
Jordan,60.89754536,2019
Jordan,60.89754536,2020
Jordan,60.89754536,2021
Kazakhstan,14.56507702,2019
Kazakhstan,14.20533161,2020
Kazakhstan,14.20533161,2021
Kenya,10.53420195,2019
Kenya,10.53420195,2020
Kenya,10.53420195,2021
Kuwait,3892,2019
Kuwait,3892,2020
Kuwait,3892,2021
Kyrgyzstan,30.06181726,2019
Kyrgyzstan,30.06181726,2020
Kyrgyzstan,30.06181726,2021
Land Locked Developing Countries,6.329560392,2019
Land Locked Developing Countries,6.221366668,2020
Land Locked Developing Countries,5.993231472,2021
Lao People's Democratic Republic,2.113943029,2019
Lao People's Democratic Republic,2.113943029,2020
Lao People's Democratic Republic,2.113943029,2021
Latin America and the Caribbean,1.99316136,2019
Latin America and the Caribbean,1.990265959,2020
Latin America and the Caribbean,1.996790454,2021
Latvia,0.152077848,2019
Latvia,0.158345736,2020
Latvia,0.158345736,2021
Least Developed Countries,2.963525906,2019
Least Developed Countries,2.963534125,2020
Least Developed Countries,2.963542344,2021
Lebanon,15.54519209,2019
Lebanon,15.54519209,2020
Lebanon,15.54519209,2021
Lesotho,0.12574454,2019
Lesotho,0.12574454,2020
Lesotho,0.12574454,2021
Liberia,0.005301724,2019
Liberia,0.005301724,2020
Liberia,0.005301724,2021
Libya,692.8571429,2019
Libya,692.8571429,2020
Libya,692.8571429,2021
Lithuania,0.23322449,2019
Lithuania,0.23322449,2020
Lithuania,0.23322449,2021
Luxembourg,0.017142857,2019
Luxembourg,0,2020
Luxembourg,0,2021
Madagascar,3.857566766,2019
Madagascar,3.857566766,2020
Madagascar,3.857566766,2021
Malawi,6.747685185,2019
Malawi,6.747685185,2020
Malawi,6.747685185,2021
Malaysia,0.431896552,2019
Malaysia,0.431896552,2020
Malaysia,0.431896552,2021
Maldives,0.295304333,2019
Maldives,0.594642667,2020
Maldives,0.893981,2021
Mali,4.229166667,2019
Mali,4.229166667,2020
Mali,4.229166667,2021
Malta,45.44596158,2019
Malta,47.45005465,2020
Malta,44.63263822,2021
Mauritania,10.72807018,2019
Mauritania,10.72807018,2020
Mauritania,10.72807018,2021
Mauritius,10.94147583,2019
Mauritius,11.0868775,2020
Mauritius,10.94147583,2021
Mexico,14.64554178,2019
Mexico,14.68386276,2020
Mexico,14.73712242,2021
Mongolia,0.720977012,2019
Mongolia,0.720977012,2020
Mongolia,0.720977012,2021
Morocco,31.57241379,2019
Morocco,31.57241379,2020
Morocco,31.57241379,2021
Mozambique,0.495624136,2019
Mozambique,0.495624136,2020
Mozambique,0.495624136,2021
Myanmar,2.532111663,2019
Myanmar,2.532111663,2020
Myanmar,2.532111663,2021
Namibia,0.503633175,2019
Namibia,0.503633175,2020
Namibia,0.503633175,2021
Nepal,4.433872502,2019
Nepal,4.433872502,2020
Nepal,4.433872502,2021
Netherlands (Kingdom of the),0.278461538,2019
Netherlands (Kingdom of the),0.337582418,2020
Netherlands (Kingdom of the),0.092087912,2021
New Zealand,0.980733945,2019
New Zealand,0.980733945,2020
New Zealand,0.980733945,2021
Nicaragua,0.658886458,2019
Nicaragua,0.658886458,2020
Nicaragua,0.658886458,2021
Niger,6.90574743,2019
Niger,6.90574743,2020
Niger,6.90574743,2021
Nigeria,1.925227114,2019
Nigeria,1.925227114,2020
Nigeria,1.925227114,2021
North Macedonia,5.847487745,2019
North Macedonia,6.766390931,2020
North Macedonia,7.685294118,2021
Northern Africa,74.1893176,2019
Northern Africa,74.04009582,2020
Northern Africa,74.04009582,2021
Northern Africa and Western Asia,51.87462321,2019
Northern Africa and Western Asia,49.48171406,2020
Northern Africa and Western Asia,47.66897679,2021
Northern America,3.176452138,2019
Northern America,3.176452138,2020
Northern America,3.176452138,2021
Norway,0.214987277,2019
Norway,0.214987277,2020
Norway,0.214987277,2021
Oceania,0.831518607,2019
Oceania,0.712019654,2020
Oceania,0.87822632,2021
Oceania (excluding Australia and New Zealand),0.006147912,2019
Oceania (excluding Australia and New Zealand),0.006147912,2020
Oceania (excluding Australia and New Zealand),0.006147912,2021
Oman,110.5,2019
Oman,110.5,2020
Oman,110.5,2021
Pakistan,69.8541329,2019
Pakistan,69.8541329,2020
Pakistan,69.8541329,2021
Palestine,22.77180406,2019
Palestine,25.78255675,2020
Palestine,25.78255675,2021
Panama,0.320234882,2019
Panama,0.320234882,2020
Panama,0.320234882,2021
Papua New Guinea,0.000124844,2019
Papua New Guinea,0.000124844,2020
Papua New Guinea,0.000124844,2021
Paraguay,0.48920752,2019
Paraguay,0.48920752,2020
Paraguay,0.48920752,2021
Peru,1.744866475,2019
Peru,1.744866475,2020
Peru,1.744866475,2021
Philippines,14.15641437,2019
Philippines,14.1651545,2020
Philippines,14.16458157,2021
Poland,2.295867769,2019
Poland,2.295867769,2020
Poland,2.295867769,2021
Portugal,4.417932816,2019
Portugal,4.417932816,2020
Portugal,4.417932816,2021
Puerto Rico,1.598591549,2019
Puerto Rico,1.598591549,2020
Puerto Rico,1.598591549,2021
Qatar,545.2689655,2019
Qatar,555.0977586,2020
Qatar,536.4758621,2021
Republic of Korea,22.89813486,2019
Republic of Korea,22.89813486,2020
Republic of Korea,22.89813486,2021
Republic of Moldova,0.358598207,2019
Republic of Moldova,0.448247759,2020
Republic of Moldova,0.448247759,2021
Romania,0.760341493,2019
Romania,1.075420971,2020
Romania,1.169756144,2021
Russian Federation,0.411893195,2019
Russian Federation,0.411893195,2020
Russian Federation,0.411893195,2021
Rwanda,2.706766917,2019
Rwanda,2.710526316,2020
Rwanda,2.714285714,2021
Saint Kitts and Nevis,0.833333333,2019
Saint Kitts and Nevis,0.833333333,2020
Saint Kitts and Nevis,0.833333333,2021
Saint Lucia,10.13333333,2019
Saint Lucia,10.13333333,2020
Saint Lucia,10.13333333,2021
Saint Vincent and the Grenadines,0,2019
Saint Vincent and the Grenadines,0,2020
Saint Vincent and the Grenadines,0,2021
Sao Tome and Principe,1.174311927,2019
Sao Tome and Principe,1.174311927,2020
Sao Tome and Principe,1.174311927,2021
Saudi Arabia,883.3333333,2019
Saudi Arabia,883.3333333,2020
Saudi Arabia,883.3333333,2021
Senegal,7.078989479,2019
Senegal,7.078989479,2020
Senegal,7.078989479,2021
Serbia,0.437176326,2019
Serbia,0.407336621,2020
Serbia,0.39025894,2021
Sierra Leone,0.0285625,2019
Sierra Leone,0.0285625,2020
Sierra Leone,0.0285625,2021
Singapore,4.424,2019
Singapore,4.4,2020
Singapore,4.4,2021
Slovakia,0.058283433,2019
Slovakia,0.058882235,2020
Slovakia,0.060738723,2021
Slovenia,0.009413241,2019
Slovenia,0.009413241,2020
Slovenia,0.009413241,2021
Small Island Developing States,1.288197305,2019
Small Island Developing States,1.290240708,2020
Small Island Developing States,1.287131141,2021
Somalia,22.31972789,2019
Somalia,22.31972789,2020
Somalia,22.31972789,2021
South Africa,22.39532619,2019
South Africa,23.34761441,2020
South Africa,23.41187926,2021
South Sudan,0.484848485,2019
South Sudan,0.484848485,2020
South Sudan,0.484848485,2021
South-eastern Asia,8.208195362,2019
South-eastern Asia,8.208993014,2020
South-eastern Asia,8.208940546,2021
Southern Asia,41.07885731,2019
Southern Asia,41.07886093,2020
Southern Asia,41.07886455,2021
Spain,17.10941704,2019
Spain,17.00448431,2020
Spain,17.00448431,2021
Sri Lanka,21.42045455,2019
Sri Lanka,21.42045455,2020
Sri Lanka,21.42045455,2021
Sub-Saharan Africa,2.005283409,2019
Sub-Saharan Africa,2.036689557,2020
Sub-Saharan Africa,2.037262275,2021
Sudan,68.54497355,2019
Sudan,68.54497355,2020
Sudan,68.54497355,2021
Suriname,0.435454546,2019
Suriname,0.435454546,2020
Suriname,0.435454546,2021
Sweden,0.055517241,2019
Sweden,0.05862069,2020
Sweden,0.05862069,2021
Switzerland,0.299252336,2019
Switzerland,0.299252336,2020
Switzerland,0.299252336,2021
Syrian Arab Republic,87.3110344,2019
Syrian Arab Republic,87.3110344,2020
Syrian Arab Republic,87.3110344,2021
Tajikistan,33.67412141,2019
Tajikistan,33.67412141,2020
Tajikistan,33.67412141,2021
Thailand,11.80775632,2019
Thailand,11.80775632,2020
Thailand,11.80775632,2021
Timor-Leste,13.03712721,2019
Timor-Leste,13.03712721,2020
Timor-Leste,13.03712721,2021
Togo,0.517006803,2019
Togo,0.517006803,2020
Togo,0.517006803,2021
Trinidad and Tobago,0.434895833,2019
Trinidad and Tobago,0.434895833,2020
Trinidad and Tobago,0.434895833,2021
Tunisia,63.55362947,2019
Tunisia,58.72156013,2020
Tunisia,58.72156013,2021
Turkmenistan,66.03593782,2019
Turkmenistan,65.09024833,2020
Turkmenistan,65.09024833,2021
TÃ¼rkiye,25.64744802,2019
TÃ¼rkiye,25.51984877,2020
TÃ¼rkiye,21.26654064,2021
Uganda,0.430948419,2019
Uganda,0.430948419,2020
Uganda,0.430948419,2021
Ukraine,2.498858968,2019
Ukraine,1.745207668,2020
Ukraine,1.745207668,2021
United Arab Emirates,1585.586394,2019
United Arab Emirates,1544.064455,2020
United Arab Emirates,1492,2021
United Kingdom of Great Britain and Northern Ireland,0.804761905,2019
United Kingdom of Great Britain and Northern Ireland,0.804761905,2020
United Kingdom of Great Britain and Northern Ireland,0.804761905,2021
United Republic of Tanzania,4.811467747,2019
United Republic of Tanzania,4.811467747,2020
United Republic of Tanzania,4.811467747,2021
United States of America,5.741283806,2019
United States of America,5.741283806,2020
United States of America,5.741283806,2021
Uruguay,1.840882695,2019
Uruguay,1.840882695,2020
Uruguay,1.840882695,2021
Uzbekistan,101.9009617,2019
Uzbekistan,96.527522,2020
Uzbekistan,81.22365459,2021
Venezuela (Bolivarian Republic of),1.261132075,2019
Venezuela (Bolivarian Republic of),1.261132075,2020
Venezuela (Bolivarian Republic of),1.261132075,2021
Viet Nam,8.794055106,2019
Viet Nam,8.794055106,2020
Viet Nam,8.794055106,2021
Western Asia,42.92418959,2019
Western Asia,39.63133646,2020
Western Asia,37.09150948,2021
World,6.766233098,2019
World,6.70912486,2020
World,6.678202147,2021
Yemen,154.047619,2019
Yemen,154.047619,2020
Yemen,154.047619,2021
Zambia,1.099236641,2019
Zambia,1.099236641,2020
Zambia,1.099236641,2021
Zimbabwe,17.96740187,2019
Zimbabwe,21.40624698,2020
Zimbabwe,21.40624698,2021
